id,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,data_godzina
51,12200,Świnoujście,2025-05-07,19:00:00,10.2,6.0,40.0,59.8,0.2,1021.9,2025-05-07 19:00:00
52,12575,Tarnów,2025-05-07,19:00:00,10.7,1.0,30.0,48.6,0.0,1017.2,2025-05-07 19:00:00
53,12399,Terespol,2025-05-07,19:00:00,5.8,2.0,350.0,51.7,0.0,1018.7,2025-05-07 19:00:00
54,12250,Toruń,2025-05-07,19:00:00,7.5,2.0,10.0,44.6,0.0,1021.2,2025-05-07 19:00:00
55,12115,Ustka,2025-05-07,19:00:00,8.0,4.0,60.0,78.9,0.01,1022.4,2025-05-07 19:00:00
56,12375,Warszawa,2025-05-07,19:00:00,8.3,5.0,360.0,44.5,0.0,1019.9,2025-05-07 19:00:00
57,12455,Wieluń,2025-05-07,19:00:00,8.5,4.0,30.0,50.5,0.0,1019.5,2025-05-07 19:00:00
58,12497,Włodawa,2025-05-07,19:00:00,6.5,3.0,350.0,47.8,0.0,1018.6,2025-05-07 19:00:00
59,12424,Wrocław,2025-05-07,19:00:00,10.5,3.0,40.0,43.5,0.0,1019.3,2025-05-07 19:00:00
60,12625,Zakopane,2025-05-07,19:00:00,6.5,1.0,40.0,59.7,2.3,0.0,2025-05-07 19:00:00
61,12595,Zamość,2025-05-07,19:00:00,6.7,4.0,360.0,52.7,0.4,1017.9,2025-05-07 19:00:00
62,12400,Zielona Góra,2025-05-07,19:00:00,9.4,2.0,70.0,42.5,0.0,1020.4,2025-05-07 19:00:00
125,12295,Białystok,2025-05-07,20:00:00,6.5,3.0,320.0,44.7,0.0,1019.0,2025-05-07 20:00:00
126,12600,Bielsko Biała,2025-05-07,20:00:00,9.3,2.0,60.0,56.6,0.01,1017.7,2025-05-07 20:00:00
127,12235,Chojnice,2025-05-07,20:00:00,5.5,3.0,70.0,74.7,0.0,1022.3,2025-05-07 20:00:00
128,12550,Częstochowa,2025-05-07,20:00:00,7.4,3.0,10.0,48.8,0.0,1019.3,2025-05-07 20:00:00
129,12160,Elbląg,2025-05-07,20:00:00,2.3,2.0,360.0,68.8,0.0,1022.1,2025-05-07 20:00:00
130,12155,Gdańsk,2025-05-07,20:00:00,5.1,4.0,10.0,60.8,0.2,1022.4,2025-05-07 20:00:00
131,12300,Gorzów,2025-05-07,20:00:00,9.5,2.0,90.0,47.6,0.0,1021.0,2025-05-07 20:00:00
132,12135,Hel,2025-05-07,20:00:00,3.7,3.0,360.0,66.6,1.0,1023.0,2025-05-07 20:00:00
133,12500,Jelenia Góra,2025-05-07,20:00:00,8.4,2.0,50.0,48.7,0.0,1019.7,2025-05-07 20:00:00
134,12435,Kalisz,2025-05-07,20:00:00,6.0,3.0,30.0,71.6,0.0,1020.6,2025-05-07 20:00:00
135,12650,Kasprowy Wierch,2025-05-07,20:00:00,-3.3,4.0,30.0,100.0,2.9,0.0,2025-05-07 20:00:00
136,12560,Katowice,2025-05-07,20:00:00,10.4,2.0,30.0,38.6,0.0,1018.0,2025-05-07 20:00:00
137,12185,Kętrzyn,2025-05-07,20:00:00,2.6,2.0,310.0,64.9,0.0,1020.9,2025-05-07 20:00:00
138,12570,Kielce,2025-05-07,20:00:00,6.9,3.0,40.0,49.7,0.0,1019.2,2025-05-07 20:00:00
139,12520,Kłodzko,2025-05-07,20:00:00,8.6,2.0,360.0,49.5,0.0,1019.0,2025-05-07 20:00:00
141,12100,Kołobrzeg,2025-05-07,20:00:00,8.8,6.0,50.0,58.6,0.0,1022.2,2025-05-07 20:00:00
142,12105,Koszalin,2025-05-07,20:00:00,5.6,1.0,20.0,68.0,0.0,1022.4,2025-05-07 20:00:00
143,12488,Kozienice,2025-05-07,20:00:00,5.4,1.0,340.0,57.8,0.0,1019.5,2025-05-07 20:00:00
144,12566,Kraków,2025-05-07,20:00:00,10.1,3.0,30.0,53.6,0.0,1017.8,2025-05-07 20:00:00
145,12670,Krosno,2025-05-07,20:00:00,9.4,2.0,20.0,50.8,0.0,1017.1,2025-05-07 20:00:00
146,12415,Legnica,2025-05-07,20:00:00,8.7,3.0,40.0,50.6,0.0,1019.7,2025-05-07 20:00:00
147,12690,Lesko,2025-05-07,20:00:00,8.8,1.0,330.0,58.6,0.8,1016.9,2025-05-07 20:00:00
148,12418,Leszno,2025-05-07,20:00:00,7.3,3.0,50.0,56.5,0.0,1020.8,2025-05-07 20:00:00
149,12125,Lębork,2025-05-07,20:00:00,3.5,3.0,70.0,76.6,0.5,1022.7,2025-05-07 20:00:00
150,12495,Lublin,2025-05-07,20:00:00,3.9,2.0,360.0,65.7,0.0,1019.3,2025-05-07 20:00:00
151,12120,Łeba,2025-05-07,20:00:00,4.8,4.0,90.0,65.9,0.01,1023.0,2025-05-07 20:00:00
152,12465,Łódź,2025-05-07,20:00:00,6.8,3.0,20.0,51.6,0.0,1020.2,2025-05-07 20:00:00
153,12280,Mikołajki,2025-05-07,20:00:00,2.6,4.0,330.0,61.6,0.0,1020.8,2025-05-07 20:00:00
154,12270,Mława,2025-05-07,20:00:00,5.0,2.0,360.0,61.7,0.0,1020.7,2025-05-07 20:00:00
155,12660,Nowy Sącz,2025-05-07,20:00:00,10.1,2.0,30.0,58.5,0.01,1017.2,2025-05-07 20:00:00
156,12272,Olsztyn,2025-05-07,20:00:00,3.9,2.0,350.0,63.7,0.0,1021.3,2025-05-07 20:00:00
157,12530,Opole,2025-05-07,20:00:00,7.0,3.0,20.0,49.8,0.0,1018.9,2025-05-07 20:00:00
158,12285,Ostrołęka,2025-05-07,20:00:00,4.6,2.0,99.0,61.6,0.0,1020.3,2025-05-07 20:00:00
159,12230,Piła,2025-05-07,20:00:00,5.1,1.0,290.0,66.9,0.0,1021.2,2025-05-07 20:00:00
160,12001,Platforma,2025-05-07,20:00:00,0.0,2.0,40.0,0.0,0.0,0.0,2025-05-07 20:00:00
161,12360,Płock,2025-05-07,20:00:00,5.4,1.0,10.0,64.5,0.0,1020.5,2025-05-07 20:00:00
162,12330,Poznań,2025-05-07,20:00:00,7.6,2.0,50.0,50.7,0.0,1021.0,2025-05-07 20:00:00
163,12695,Przemyśl,2025-05-07,20:00:00,9.7,2.0,99.0,53.9,0.7,1016.7,2025-05-07 20:00:00
164,12540,Racibórz,2025-05-07,20:00:00,10.9,3.0,10.0,44.5,0.0,1017.6,2025-05-07 20:00:00
165,12210,Resko,2025-05-07,20:00:00,4.2,1.0,20.0,66.7,0.3,1022.0,2025-05-07 20:00:00
166,12580,Rzeszów,2025-05-07,20:00:00,8.0,3.0,360.0,50.8,0.0,1017.7,2025-05-07 20:00:00
167,12585,Sandomierz,2025-05-07,20:00:00,6.7,3.0,10.0,50.8,0.0,1018.6,2025-05-07 20:00:00
168,12385,Siedlce,2025-05-07,20:00:00,5.1,2.0,330.0,59.9,0.0,1019.4,2025-05-07 20:00:00
169,12310,Słubice,2025-05-07,20:00:00,9.5,2.0,100.0,49.7,0.0,1020.6,2025-05-07 20:00:00
170,12469,Sulejów,2025-05-07,20:00:00,6.1,2.0,10.0,56.7,0.0,1019.9,2025-05-07 20:00:00
171,12195,Suwałki,2025-05-07,20:00:00,3.7,4.0,320.0,63.7,0.0,1019.8,2025-05-07 20:00:00
172,12205,Szczecin,2025-05-07,20:00:00,6.6,1.0,90.0,59.8,0.0,1021.5,2025-05-07 20:00:00
173,12215,Szczecinek,2025-05-07,20:00:00,6.0,2.0,99.0,55.8,0.0,1021.9,2025-05-07 20:00:00
174,12510,Śnieżka,2025-05-07,20:00:00,-2.7,12.0,80.0,76.1,0.0,0.0,2025-05-07 20:00:00
175,12200,Świnoujście,2025-05-07,20:00:00,10.0,6.0,50.0,60.6,0.2,1021.9,2025-05-07 20:00:00
176,12575,Tarnów,2025-05-07,20:00:00,9.7,2.0,40.0,46.6,0.0,1017.3,2025-05-07 20:00:00
177,12399,Terespol,2025-05-07,20:00:00,4.6,1.0,300.0,60.7,0.0,1018.6,2025-05-07 20:00:00
178,12250,Toruń,2025-05-07,20:00:00,5.7,2.0,360.0,56.6,0.0,1021.2,2025-05-07 20:00:00
179,12115,Ustka,2025-05-07,20:00:00,7.3,3.0,60.0,79.9,0.01,1022.5,2025-05-07 20:00:00
180,12375,Warszawa,2025-05-07,20:00:00,8.4,4.0,30.0,46.6,0.0,1019.9,2025-05-07 20:00:00
181,12455,Wieluń,2025-05-07,20:00:00,7.3,3.0,40.0,55.7,0.0,1019.9,2025-05-07 20:00:00
182,12497,Włodawa,2025-05-07,20:00:00,4.8,2.0,350.0,53.9,0.0,1018.7,2025-05-07 20:00:00
183,12424,Wrocław,2025-05-07,20:00:00,9.1,3.0,50.0,50.7,0.0,1019.9,2025-05-07 20:00:00
184,12625,Zakopane,2025-05-07,20:00:00,6.2,1.0,50.0,65.6,2.3,0.0,2025-05-07 20:00:00
185,12595,Zamość,2025-05-07,20:00:00,5.7,4.0,10.0,54.5,0.4,1018.5,2025-05-07 20:00:00
186,12400,Zielona Góra,2025-05-07,20:00:00,8.5,2.0,80.0,45.6,0.0,1020.7,2025-05-07 20:00:00
